"Site","SiteName","VEGID","Type","LAT","LONG","ALTITUDE","Aspect","Slope","Description","Understory","Moss","H2O","Edge","habitat","edgedist","edgetype","pforest.","sforest.","natdist.","pasture.","coffee.","note","Area_Basal","Group_cover","Subcanopy","Sitio","HabitatSitio","Fecha","Hora","Cielo","Viento","Rio","Sequence","Especies","Abundancia","Replica"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","PSAMON",2,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","AMACYC*",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","GLABRA",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","PSIMOR",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","CYAMEL",3,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","SALATR",2,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","ARCCOL",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","MELAUR",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,"G/B/M","EMPMIN",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","AMACYC*",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","FALSPA",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","GLABRA",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","CYCGUJ",1,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","CORATR",2,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,"B/G/M","CAEAUR*",4,"1"
1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/31/2016","07:25",0,2,0,"G/B/M","SALATR",1,"1"
