Sitio	Tipo_F	Punto_Inicial	Fecha	Visita	Hora_I	Hora_F	Especie	Comportamiento	Sustrato	Distancia	DistanciaBosque	Sexo	Deteccion	Observador	Observaciones
F6	DAI	DAIB	4/1/2023	3	655	705	Ninguna							DM	
F10	DAI	DAIC	4/1/2023	3	842	855	HYLMUS			60	50		Song	DM	
F1	DAI	DAIC	11/1/2023	3	1050	1054	LEPVER	Posada	Subcanopy	2	40		Visual	DM	
F1	DAI	DAIC	11/1/2023	3	1050	1054	LEPVER	Posada	Subcanopy	7	28		Visual	DM	
F1	DAI	DAIC	11/1/2023	3	1050	1054	LEPVER						Song	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	SETMAG	Forrageando	Dosel	5	40		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	EMPIDONAX	Forrageando	Dosel	5	40		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	VERCHR	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	VERCYA	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	SETPEN	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	SETPET	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	SETRUT	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	MNIVAR	Forrageando	Dosel	10	20		Visual	DM	
F33	DAI	DAIC	11/1/2023	3	645	700	DUMCAR						Song	DM	
F15	DAI	DAIB	10/1/2023	3	1103	1009	EMPIDONAX	Posada	Subcanopy	7	-48		Visual	DM	
F24	DAI	DAIC	6/1/2023	3	647	656	SETMAG	Cantando	Subcanopy	3	40		Visual	DM	
F24	DAI	DAIC	6/1/2023	3	647	656	RAMSUL	Posada	Dosel	40	0		Visual	DM	
F24	DAI	DAIC	6/1/2023	3	647	656	RAMSUL	Posada	Dosel	40	0		Visual	DM	
F21	DAI	DAIB	6/1/2023	3	1019	1024	Ninguna							DM	
F13	DAI	DAIB	5/1/2023	3	922	927	Ninguna							DM	
F54	DAI	DAIB	5/1/2023	3	755	804	PSAMON	Cantando	Dosel	35	35		Visual	DM	
F4	DAI	DAIB	9/1/2023	3	714	725	CARPUS	Cantando	Sotobosque	5	-30		Visual	DM	
F4	DAI	DAIB	9/1/2023	3	714	725	PSAMON						Song	DM	
F54	DAI	DAIC	14/1/2023	3	1010	1019	Ninguna							DM	
F33	DAI	DAIB	9/1/2023	3	854	901	Ninguna							DM	
F54	DAI	DAIC	20/8/2022	2	627	633	Ninguna							DM	
F8	DAI	DAIC	20/8/2022	2	756	802	Ninguna							DM	
F7	DAI	DAIC	20/8/2022	2	856	901	Ninguna							DM	
F22	DAI	DAIC	21/8/2022	2	605	611	Ninguna							DM	
F10	DAI	DAIB	21/8/2022	2	644		HENLEUCOPHYS	Cantando		5	-30		Song	DM	
F10	DAI	DAIB	21/8/2022	2	644		RAMSUL	Cantando		30	-25		Song	DM	
F10	DAI	DAIB	21/8/2022	2	644		PSAMON	Posada	Dosel		100		Visual	DM	
F10	DAI	DAIB	21/8/2022	2	644		PSAWAG	Posada	Dosel		80		Visual	DM	
F10	DAI	DAIB	21/8/2022	2	644		PSAWAG	Posada	Dosel		80		Visual	DM	
F10	DAI	DAIB	21/8/2022	2	644		PSAWAG	Posada	Dosel		80		Visual	DM	
F6	DAI	DAIC	21/8/2022	2	745	751	PSAMON						Song	DM	
F23	DAI	DAIB	19/8/2022	2	630	638	AULPRA	Posada	Dosel	3	-40		Visual	DM	
F23	DAI	DAIB	19/8/2022	2	630	638	RAMSUL						Song	DM	
F23	DAI	DAIB	19/8/2022	2	630	638	DIVDIV						Song	DM	
F33	DAI	DAIC	19/8/2022	2	819	830	LEPVER						Song	DM	
F33	DAI	DAIC	19/8/2022	2	819	830	RAMSUL				25		Song	DM	
F33	DAI	DAIC	19/8/2022	2	819	830	PATFLA			70	25		Visual	DM	
F33	DAI	DAIC	19/8/2022	2	819	830	ATLALB	Forrageando	Sotobosque	3	0		Visual	DM	
F33	DAI	DAIC	19/8/2022	2	819	830	CATAUR	Volando					Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	MIOOLE			5	0		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	MIOOLE			5	0		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	MELFOR			60	15		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	MELFOR			60	15		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	MELFOR			60	15		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	RAMSUL			0	0		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	AULPRA			20	-1		Visual	DM	
F4	DAI	DAIC	19/8/2022	2	938	950	RAMSUL			0	0		Visual	DM	
