year,block,species,init,expos,date,age_start,age_end,survive,dist
1,10,4,51,7,73,16,23,1,1.437
1,7,3,57,3,83,24,27,1,0.066
2,9,1,36,6,55,14,20,1,0.896
1,3,7,50,6,81,26,32,1,0.407
3,8,4,67,5,80,9,14,0,1.41
1,3,1,46,7,71,19,26,0,3.097
1,9,1,44,8,63,12,20,1,3.656
3,12,2,44,3,66,20,23,1,1.8
1,10,3,46,8,77,24,32,1,2.066
1,3,2,46,7,80,28,35,1,1.796
3,2,2,51,8,64,6,14,1,1.653
2,1,4,31,9,50,11,20,1,0.1
2,3,5,28,8,64,29,37,1,2.978
1,9,5,32,8,71,32,40,1,0.289
3,8,3,70,8,102,25,33,0,0.931
3,9,3,58,7,81,17,24,1,1.187
3,1,2,55,7,88,27,34,1,1.897
1,4,1,45,8,66,14,22,1,2.077
2,5,1,53,11,77,14,25,1,1.757
3,10,3,62,5,101,35,40,1,2.374
1,12,1,34,5,63,25,30,1,2.697
3,8,3,57,7,87,24,31,1,0.737
1,9,4,36,3,60,22,25,1,2.278
2,8,1,45,7,69,18,25,0,1.211
3,7,4,53,8,74,14,22,1,0.7
2,2,2,26,8,65,32,40,1,1.078
1,3,1,44,7,78,28,35,1,2.155
1,3,3,47,8,86,32,40,1,2.149
3,8,2,48,6,80,27,33,1,1.387
1,7,3,60,6,89,24,30,1,0.252
1,9,1,44,8,71,20,28,1,3.656
1,12,1,41,9,80,31,40,1,3.447
3,9,1,41,3,63,20,23,1,1.151
2,8,3,70,8,90,13,21,1,1.705
3,8,4,50,12,77,16,28,1,1.444
2,1,1,43,9,82,31,40,1,1.111
2,6,4,70,7,82,6,13,1,1.972
3,8,1,45,5,70,21,26,0,2.922
3,10,3,63,8,96,26,34,1,2.204
3,8,2,27,8,51,17,25,1,0.67
2,7,1,28,8,49,14,22,1,2.889
1,9,3,56,8,83,20,28,1,3.303
2,1,3,47,6,73,21,27,1,2.103
2,10,3,51,8,74,16,24,0,1.815
3,12,1,52,7,83,25,32,1,3.042
3,12,2,49,6,81,27,33,1,2.188
1,3,3,64,5,90,22,27,1,1.741
2,1,1,43,10,72,20,30,1,0.071
3,12,4,60,4,67,4,8,1,2.739
2,5,3,65,7,99,28,35,1,2.816
2,8,1,37,7,50,7,14,1,2.54
3,8,3,58,5,82,20,25,1,1.41
3,12,7,58,6,81,18,24,1,1.988
2,1,4,21,9,59,30,39,1,1.749
2,12,3,45,6,83,33,39,1,0.877
2,7,1,34,8,66,25,33,0,1.786
2,3,7,54,3,79,23,26,1,1.893
1,7,3,43,8,77,27,35,0,1.535
3,6,2,34,11,54,10,21,1,3.806
1,7,1,59,8,68,2,10,1,1.423
3,12,3,53,6,76,18,24,1,2.739
1,3,3,57,8,94,30,38,1,1.112
2,9,1,52,7,76,18,25,1,3.65
2,8,1,34,7,49,9,16,0,0.457
2,12,1,44,8,81,30,38,0,1.505
2,8,2,31,14,53,9,23,1,0.594
3,9,4,25,10,51,17,27,1,0.977
1,12,1,48,8,72,17,25,0,1.358
3,1,1,53,11,81,18,29,1,1.939
1,7,4,71,6,95,19,25,0,1.109
3,7,4,35,6,58,18,24,1,0.847
1,12,3,62,8,83,14,22,1,2.034
3,2,3,72,8,96,17,25,1,1.496
3,8,4,54,6,80,21,27,1,1.189
1,8,1,41,14,69,15,29,0,0.373
3,5,4,33,9,60,19,28,1,1.633
1,7,1,34,8,50,9,17,1,1.34
3,7,4,25,7,47,16,23,0,1.055
1,12,3,78,9,94,8,17,1,1.014
2,10,3,50,8,62,5,13,1,0.364
1,7,5,69,6,95,21,27,1,1.784
2,2,4,10,7,47,31,38,1,1.906
1,3,5,46,8,73,20,28,1,2.178
1,10,4,45,8,66,14,22,1,0.709
3,9,7,46,5,78,28,33,1,1.36
3,8,1,39,8,63,17,25,1,1.308
1,3,3,48,7,78,24,31,1,0.648
3,6,4,35,4,47,9,13,0,3.377
3,7,4,35,5,46,7,12,1,0.39
3,3,3,48,5,71,19,24,1,3.633
3,5,1,54,11,80,16,27,0,1.764
3,12,3,66,6,76,5,11,1,2.22
2,6,3,40,6,61,16,22,0,1.818
3,10,3,67,7,80,7,14,1,0.108
2,9,1,43,7,76,27,34,1,0.921
3,3,7,61,7,87,20,27,1,4.032
3,10,4,23,8,61,31,39,1,2.228
2,8,1,24,8,44,13,21,1,1.808
1,3,3,52,6,77,20,26,1,1.518
2,1,4,53,6,73,15,21,1,2.672
3,9,1,37,8,59,15,23,0,1.402
3,12,3,61,7,95,28,35,1,3.099
3,2,1,51,5,73,18,23,0,1.961
1,3,1,51,8,79,21,29,1,1.628
3,2,3,57,8,96,32,40,1,4.079
1,3,6,50,7,83,27,34,0,3.087
3,2,1,53,8,81,21,29,0,1.909
3,2,4,19,5,46,23,28,1,2.799
3,1,7,57,7,95,32,39,1,0.417
3,7,1,43,7,68,19,26,1,0.942
3,5,4,47,11,80,23,34,1,1.679
3,6,4,23,7,43,14,21,0,3.233
1,7,3,61,6,89,23,29,1,0.882
2,10,3,61,8,82,14,22,0,1.045
1,7,4,45,8,80,28,36,1,0.188
1,7,1,47,7,80,27,34,1,1.528
2,8,1,45,8,62,10,18,1,0.443
1,8,1,45,7,72,21,28,1,0.342
2,10,2,54,7,88,28,35,1,0.269
1,11,3,57,8,72,8,16,0,1.491
1,10,3,75,8,94,12,20,1,1.389
1,3,5,62,8,86,17,25,1,2.018
3,12,1,43,5,78,31,36,1,2.682
3,1,3,53,5,88,31,36,1,1.431
1,9,1,47,7,75,22,29,1,0.418
3,5,3,46,9,77,23,32,1,1.064
2,5,1,51,11,80,19,30,0,1.539
1,10,4,45,8,69,17,25,1,2.424
1,2,1,50,8,75,18,26,1,1.575
3,2,3,55,11,75,10,21,1,2.183
3,9,1,44,10,77,24,34,1,0.672
1,4,1,60,6,76,11,17,1,1.678
3,10,4,13,7,49,30,37,1,1.048
3,12,2,64,5,88,20,25,0,0.472
2,12,3,52,9,75,15,24,1,0.927
1,6,2,38,8,70,25,33,1,1.647
2,5,3,59,9,74,7,16,1,2.72
3,8,3,70,7,94,18,25,0,1.58
2,9,3,44,8,66,15,23,1,1.056
3,2,2,56,5,73,13,18,0,1.72
2,3,4,47,9,78,23,32,1,1.821
2,1,4,14,12,49,24,36,1,2.699
3,1,4,36,8,64,21,29,1,0.719
1,9,5,49,8,75,19,27,1,0.831
3,8,1,44,9,74,22,31,0,0.393
3,9,3,51,4,76,22,26,1,0.999
3,6,5,44,8,78,27,35,1,1.24
1,11,3,49,7,79,24,31,1,1.427
3,12,3,57,6,76,14,20,1,2.643
3,10,4,61,8,88,20,28,1,2.374
2,5,3,52,5,85,29,34,1,1.852
2,10,3,63,6,99,31,37,0,0.031
2,3,6,60,10,99,30,40,1,0.167
1,7,2,31,7,54,17,24,0,0.038
3,7,4,25,7,47,16,23,0,0.834
1,8,4,45,9,78,25,34,1,2.302
1,10,3,63,8,79,9,17,1,2.499
2,6,3,39,6,61,17,23,1,1.947
2,6,4,27,7,61,28,35,1,0.553
3,5,1,41,12,80,28,40,1,1.657
2,6,4,55,5,61,2,7,0,2.003
3,6,3,58,9,78,12,21,0,3.394
3,7,4,53,8,74,14,22,1,0.405
3,6,3,43,11,75,22,33,0,4.198
3,10,3,44,7,73,23,30,1,1.841
2,10,2,25,7,49,18,25,1,1.479
3,2,1,40,10,76,27,37,1,2.999
1,2,1,42,8,77,28,36,1,2.888
3,12,3,58,6,83,20,26,1,2.792
3,5,4,54,7,84,24,31,0,4.066
3,5,1,56,9,77,13,22,1,1.22
1,10,7,72,3,85,11,14,1,1.282
1,10,3,51,4,81,27,31,1,1.847
1,8,3,53,9,78,17,26,1,0.158
3,6,1,35,6,64,24,30,1,3.518
3,10,3,63,5,101,34,39,1,0.675
2,1,3,47,8,67,13,21,1,2.103
1,3,2,32,8,54,15,23,1,0.795
2,10,5,24,8,41,10,18,0,1.076
2,3,7,46,8,72,19,27,1,0.138
2,9,1,29,8,43,7,15,1,0.413
2,8,2,25,4,62,34,38,0,1.837
1,9,3,62,9,95,25,34,1,0.189
3,6,2,53,5,65,8,13,1,4.3
1,7,3,65,6,89,19,25,1,0.384
3,9,3,51,6,89,33,39,1,0.999
2,6,4,20,10,54,25,35,1,2.395
1,9,3,47,8,83,29,37,1,0.991
2,5,2,52,5,85,29,34,1,1.367
3,5,1,48,7,84,30,37,1,4.287
1,6,1,45,14,73,15,29,1,2.907
1,6,4,60,7,80,14,21,0,2.298
1,2,3,52,8,69,10,18,0,1.891
1,6,5,48,8,70,15,23,0,1.971
3,9,4,47,5,73,22,27,1,1.177
2,12,3,63,5,92,25,30,0,1.86
1,6,3,47,9,86,31,40,1,1.267
1,12,1,44,7,51,1,8,1,2.744
2,7,3,29,3,60,29,32,1,2.944
3,12,1,34,11,53,9,20,0,0.545
2,9,3,61,9,83,14,23,1,1.177
3,8,4,48,12,77,18,30,0,0.97
3,3,2,37,7,70,27,34,1,1.824
